Title,Most view per day,Most-view-date,Highest rank,Time to Highest rank,Charted-duration,URL id:
"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",7930970,2017/06/10,4.0,,39.0,c73Cu3TQnlg
BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),9293842,2020/11/26,1.0,3.0,112.0,TmKh7lAwnBI
BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,14600149,2017/11/24,12.0,,109.0,kTlv5_Bs8aw
Aqua - Barbie Girl (Official Music Video),2429991,2023/07/29,9.0,,27.0,ZyhrYis509A
Eminem - Rap God (Explicit),3134201,2013/11/28,7.0,,67.0,XbGs_qK2PQA
Rihanna - Work (Explicit) ft. Drake,11964467,2016/02/22,2.0,1.0,39.0,HL1UzIK-flA
Dr. Dre - Still D.R.E. ft. Snoop Dogg,1988629,2022/02/19,27.0,,47.0,_CL6n0FJZpk
The Weeknd - Can't Feel My Face (Official Video),3484102,2015/12/09,10.0,,60.0,KEI4qSrkPAs
DJ Snake - Let Me Love You ft. Justin Bieber,4559164,2016/11/30,19.0,,59.0,euCqAq6BRa4
AC/DC - Thunderstruck (Official Video),1143963,2017/11/18,154.0,,14.0,v2AC41dglnM
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",1478521,2018/08/30,34.0,,29.0,V1bFr2SWP1I
Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,887472,2022/07/04,78.0,,23.0,DUT5rEU6pqM
Alan Walker - Alone,3794350,2016/12/02,24.0,,59.0,1-xGerv5FOk
"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay",8955875,2021/04/19,1.0,4.0,55.0,sCbbMZ-q4-I
Bruno Mars - When I Was Your Man (Official Music Video),958708,2013/04/13,8.0,,75.0,ekzHIouo8Q4
CantaJuego - Soy Una Taza (Version Mexico),2196447,2019/07/14,36.0,,88.0,cgEnBkmcpuQ
Ed Sheeran - Photograph (Official Music Video),2269162,2017/11/30,53.0,,24.0,nSDgHBxUbVQ
Ariana Grande - 7 rings (Official Video),18467028,2019/01/18,1.0,1.0,80.0,QYh6mYIJG2Y
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,13469263,2017/06/22,17.0,,57.0,Amq-qlqbjYA
Joey Montana - Picky,3750942,2016/06/11,9.0,,88.0,RqpKDkVzlqU
Daddy Yankee - Limbo (Video Oficial),811985,2013/05/18,17.0,,167.0,6BTjG-dhf5s
